alert_id,created_at,grouping_variant,evaluation_label_is_sar,source_account_key,source_bank,dominant_destination_bank,dominant_currency,dominant_payment_format,typology,pattern_assigned,transaction_count,total_amount,total_amount_usd,max_amount,max_amount_usd,mean_amount,mean_amount_usd,min_amount,min_amount_usd,median_amount,median_amount_usd,std_amount,std_amount_usd,amount_range,amount_range_usd,amount_per_transaction,amount_per_transaction_usd,unique_destination_accounts,unique_destination_banks,repeated_counterparty_ratio,top_counterparty_tx_share,top_counterparty_amount_share,time_span_hours,avg_gap_hours,max_gap_hours,currency_count,has_mixed_currencies,payment_format_count,same_bank_ratio,cross_bank_ratio,round_amount_ratio,night_ratio,weekend_ratio,created_hour,created_day_of_week,ach_ratio,wire_ratio,cash_ratio,cheque_ratio,credit_card_ratio,reinvestment_ratio,bitcoin_ratio
LI-A0010,2022-09-11T00:00:00Z,source_account_24h,0,103:LI-SRC-3,103,300,US Dollar,ach,unknown,0,1,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,0.0,0.0,0.0,0.0,660.0,660.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0011,2022-09-12T00:00:00Z,source_account_24h,0,104:LI-SRC-3,104,300,US Dollar,ach,unknown,0,1,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0,0.0,0.0,0.0,0.0,720.0,720.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0012,2022-09-13T00:00:00Z,source_account_24h,1,105:LI-SRC-4,105,300,US Dollar,wire,unknown,0,4,156000.0,157872.0,62400.0,63648.0,39000.0,39468.0,15600.0,15600.0,39000.0,39312.0,17441.33022449836,17794.260198165026,46800.0,48048.0,39000.0,39468.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0013,2022-09-14T00:00:00Z,source_account_24h,0,106:LI-SRC-4,106,300,US Dollar,ach,unknown,0,1,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,840.0,0.0,0.0,0.0,0.0,840.0,840.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0014,2022-09-15T00:00:00Z,source_account_24h,0,100:LI-SRC-4,100,300,US Dollar,ach,unknown,0,1,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,0.0,0.0,0.0,0.0,900.0,900.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0015,2022-09-16T00:00:00Z,source_account_24h,0,101:LI-SRC-5,101,300,US Dollar,ach,unknown,0,1,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,0.0,0.0,0.0,0.0,960.0,960.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0016,2022-09-17T00:00:00Z,source_account_24h,1,102:LI-SRC-5,102,300,US Dollar,wire,unknown,0,4,204000.0,206448.0,81600.0,83232.0,51000.0,51612.0,20400.0,20400.0,51000.0,51408.0,22807.893370497855,23269.417182215802,61200.0,62832.0,51000.0,51612.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0017,2022-09-18T00:00:00Z,source_account_24h,0,103:LI-SRC-5,103,300,US Dollar,ach,unknown,0,1,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,1080.0,0.0,0.0,0.0,0.0,1080.0,1080.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0018,2022-09-19T00:00:00Z,source_account_24h,0,104:LI-SRC-6,104,300,US Dollar,ach,unknown,0,1,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0,0.0,0.0,0.0,0.0,1140.0,1140.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0019,2022-09-20T00:00:00Z,source_account_24h,0,105:LI-SRC-6,105,300,US Dollar,ach,unknown,0,1,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,0.0,1200.0,1200.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0020,2022-09-21T00:00:00Z,source_account_24h,1,106:LI-SRC-6,106,300,US Dollar,wire,unknown,0,4,252000.0,255024.0,100800.0,102816.0,63000.0,63756.0,25200.0,25200.0,63000.0,63504.0,28174.45651649735,28744.57416626658,75600.0,77616.0,63000.0,63756.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0021,2022-09-22T00:00:00Z,source_account_24h,0,100:LI-SRC-7,100,300,US Dollar,ach,unknown,0,1,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,1320.0,0.0,0.0,0.0,0.0,1320.0,1320.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0022,2022-09-23T00:00:00Z,source_account_24h,0,101:LI-SRC-7,101,300,US Dollar,ach,unknown,0,1,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,1380.0,0.0,0.0,0.0,0.0,1380.0,1380.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0023,2022-09-24T00:00:00Z,source_account_24h,0,102:LI-SRC-7,102,300,US Dollar,ach,unknown,0,1,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0,0.0,0.0,0.0,0.0,1440.0,1440.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0024,2022-09-25T00:00:00Z,source_account_24h,1,103:LI-SRC-8,103,300,US Dollar,wire,unknown,0,4,300000.0,303600.0,120000.0,122400.0,75000.0,75900.0,30000.0,30000.0,75000.0,75600.0,33541.019662496845,34219.731150317355,90000.0,92400.0,75000.0,75900.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0025,2022-09-26T00:00:00Z,source_account_24h,0,104:LI-SRC-8,104,300,US Dollar,ach,unknown,0,1,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,1560.0,0.0,0.0,0.0,0.0,1560.0,1560.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0026,2022-09-27T00:00:00Z,source_account_24h,0,105:LI-SRC-8,105,300,US Dollar,ach,unknown,0,1,1620.0,1620.0,1620.0,1620.0,1620.0,1620.0,1620.0,1620.0,1620.0,1620.0,0.0,0.0,0.0,0.0,1620.0,1620.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0027,2022-09-28T00:00:00Z,source_account_24h,0,106:LI-SRC-9,106,300,US Dollar,ach,unknown,0,1,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,0.0,0.0,0.0,0.0,1680.0,1680.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0028,2022-09-01T00:00:00Z,source_account_24h,1,100:LI-SRC-9,100,300,US Dollar,wire,unknown,0,4,348000.0,352176.0,139200.0,141984.0,87000.0,88044.0,34800.0,34800.0,87000.0,87696.0,38907.58280849634,39694.888134368135,104400.0,107184.0,87000.0,88044.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0029,2022-09-02T00:00:00Z,source_account_24h,0,101:LI-SRC-9,101,300,US Dollar,ach,unknown,0,1,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,0.0,0.0,0.0,0.0,1800.0,1800.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0030,2022-09-03T00:00:00Z,source_account_24h,0,102:LI-SRC-10,102,300,US Dollar,ach,unknown,0,1,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,1860.0,0.0,0.0,0.0,0.0,1860.0,1860.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0031,2022-09-04T00:00:00Z,source_account_24h,0,103:LI-SRC-10,103,300,US Dollar,ach,unknown,0,1,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0,0.0,0.0,0.0,0.0,1920.0,1920.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0032,2022-09-05T00:00:00Z,source_account_24h,1,104:LI-SRC-10,104,300,US Dollar,wire,unknown,0,4,396000.0,400752.0,158400.0,161568.0,99000.0,100188.0,39600.0,39600.0,99000.0,99792.0,44274.145954495834,45170.04511841891,118800.0,121968.0,99000.0,100188.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0033,2022-09-06T00:00:00Z,source_account_24h,0,105:LI-SRC-11,105,300,US Dollar,ach,unknown,0,1,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,2040.0,0.0,0.0,0.0,0.0,2040.0,2040.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0034,2022-09-07T00:00:00Z,source_account_24h,0,106:LI-SRC-11,106,300,US Dollar,ach,unknown,0,1,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,0.0,0.0,0.0,0.0,2100.0,2100.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0035,2022-09-08T00:00:00Z,source_account_24h,0,100:LI-SRC-11,100,300,US Dollar,ach,unknown,0,1,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,2160.0,0.0,0.0,0.0,0.0,2160.0,2160.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0036,2022-09-09T00:00:00Z,source_account_24h,1,101:LI-SRC-12,101,300,US Dollar,wire,unknown,0,4,444000.0,449328.0,177600.0,181152.0,111000.0,112332.0,44400.0,44400.0,111000.0,111888.0,49640.70910049533,50645.20210246969,133200.0,136752.0,111000.0,112332.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0037,2022-09-10T00:00:00Z,source_account_24h,0,102:LI-SRC-12,102,300,US Dollar,ach,unknown,0,1,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,2280.0,0.0,0.0,0.0,0.0,2280.0,2280.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0038,2022-09-11T00:00:00Z,source_account_24h,0,103:LI-SRC-12,103,300,US Dollar,ach,unknown,0,1,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,2340.0,0.0,0.0,0.0,0.0,2340.0,2340.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0039,2022-09-12T00:00:00Z,source_account_24h,0,104:LI-SRC-13,104,300,US Dollar,ach,unknown,0,1,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,2400.0,2400.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0040,2022-09-13T00:00:00Z,source_account_24h,1,105:LI-SRC-13,105,300,US Dollar,wire,unknown,0,4,492000.0,497904.0,196800.0,200736.0,123000.0,124476.0,49200.0,49200.0,123000.0,123984.0,55007.272246494824,56120.35908652046,147600.0,151536.0,123000.0,124476.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0041,2022-09-14T00:00:00Z,source_account_24h,0,106:LI-SRC-13,106,300,US Dollar,ach,unknown,0,1,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,0.0,2520.0,2520.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0042,2022-09-15T00:00:00Z,source_account_24h,0,100:LI-SRC-14,100,300,US Dollar,ach,unknown,0,1,2580.0,2580.0,2580.0,2580.0,2580.0,2580.0,2580.0,2580.0,2580.0,2580.0,0.0,0.0,0.0,0.0,2580.0,2580.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0043,2022-09-16T00:00:00Z,source_account_24h,0,101:LI-SRC-14,101,300,US Dollar,ach,unknown,0,1,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,0.0,0.0,0.0,0.0,2640.0,2640.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0044,2022-09-17T00:00:00Z,source_account_24h,1,102:LI-SRC-14,102,300,US Dollar,wire,unknown,0,4,540000.0,546480.0,216000.0,220320.0,135000.0,136620.0,54000.0,54000.0,135000.0,136080.0,60373.83539249432,61595.51607057124,162000.0,166320.0,135000.0,136620.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0045,2022-09-18T00:00:00Z,source_account_24h,0,103:LI-SRC-15,103,300,US Dollar,ach,unknown,0,1,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,2760.0,0.0,0.0,0.0,0.0,2760.0,2760.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0046,2022-09-19T00:00:00Z,source_account_24h,0,104:LI-SRC-15,104,300,US Dollar,ach,unknown,0,1,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0,2820.0,0.0,0.0,0.0,0.0,2820.0,2820.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0047,2022-09-20T00:00:00Z,source_account_24h,0,105:LI-SRC-15,105,300,US Dollar,ach,unknown,0,1,2880.0,2880.0,2880.0,2880.0,2880.0,2880.0,2880.0,2880.0,2880.0,2880.0,0.0,0.0,0.0,0.0,2880.0,2880.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0048,2022-09-21T00:00:00Z,source_account_24h,1,106:LI-SRC-16,106,300,US Dollar,wire,unknown,0,4,588000.0,595056.0,235200.0,239904.0,147000.0,148764.0,58800.0,58800.0,147000.0,148176.0,65740.39853849381,67070.67305462202,176400.0,181104.0,147000.0,148764.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0049,2022-09-22T00:00:00Z,source_account_24h,0,100:LI-SRC-16,100,300,US Dollar,ach,unknown,0,1,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0.0,0.0,0.0,0.0,3000.0,3000.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0050,2022-09-23T00:00:00Z,source_account_24h,0,101:LI-SRC-16,101,300,US Dollar,ach,unknown,0,1,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,3060.0,0.0,0.0,0.0,0.0,3060.0,3060.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0051,2022-09-24T00:00:00Z,source_account_24h,0,102:LI-SRC-17,102,300,US Dollar,ach,unknown,0,1,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,0.0,0.0,0.0,0.0,3120.0,3120.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0052,2022-09-25T00:00:00Z,source_account_24h,1,103:LI-SRC-17,103,300,US Dollar,wire,unknown,0,4,636000.0,643632.0,254400.0,259488.0,159000.0,160908.0,63600.0,63600.0,159000.0,160272.0,71106.96168449332,72545.8300386728,190800.0,195888.0,159000.0,160908.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LI-A0053,2022-09-26T00:00:00Z,source_account_24h,0,104:LI-SRC-17,104,300,US Dollar,ach,unknown,0,1,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,3240.0,0.0,0.0,0.0,0.0,3240.0,3240.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0054,2022-09-27T00:00:00Z,source_account_24h,0,105:LI-SRC-18,105,300,US Dollar,ach,unknown,0,1,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,3300.0,0.0,0.0,0.0,0.0,3300.0,3300.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0055,2022-09-28T00:00:00Z,source_account_24h,0,106:LI-SRC-18,106,300,US Dollar,ach,unknown,0,1,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,3360.0,0.0,0.0,0.0,0.0,3360.0,3360.0,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1,0,1,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LI-A0056,2022-09-01T00:00:00Z,source_account_24h,1,100:LI-SRC-18,100,300,US Dollar,wire,unknown,0,4,684000.0,692208.0,273600.0,279072.0,171000.0,173052.0,68400.0,68400.0,171000.0,172368.0,76473.52483049281,78020.98702272357,205200.0,210672.0,171000.0,173052.0,4,4,0.0,0.25,0.4031620553359684,3.0,1.0,1.0,2,1,1,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
